symbol,ts_utc,timeframe,date,feature_alpha,feature_beta,feature_ret_1d,target_ret_1d
AAPL,2025-01-01T00:00:00Z,1D,2025-01-01,0.10,1.00,0.004,-0.002
AAPL,2025-01-02T00:00:00Z,1D,2025-01-02,0.12,1.03,-0.002,0.006
AAPL,2025-01-03T00:00:00Z,1D,2025-01-03,0.14,1.05,0.006,0.001
AAPL,2025-01-04T00:00:00Z,1D,2025-01-04,0.13,1.04,0.001,0.005
AAPL,2025-01-05T00:00:00Z,1D,2025-01-05,0.16,1.08,0.005,-0.001
AAPL,2025-01-06T00:00:00Z,1D,2025-01-06,0.15,1.07,-0.001,0.004
AAPL,2025-01-07T00:00:00Z,1D,2025-01-07,0.17,1.09,0.004,0.003
AAPL,2025-01-08T00:00:00Z,1D,2025-01-08,0.18,1.11,0.003,0.002
MSFT,2025-01-01T00:00:00Z,1D,2025-01-01,0.08,0.92,-0.003,0.002
MSFT,2025-01-02T00:00:00Z,1D,2025-01-02,0.09,0.94,0.002,0.001
MSFT,2025-01-03T00:00:00Z,1D,2025-01-03,0.10,0.95,0.001,0.004
MSFT,2025-01-04T00:00:00Z,1D,2025-01-04,0.11,0.97,0.004,-0.002
MSFT,2025-01-05T00:00:00Z,1D,2025-01-05,0.10,0.96,-0.002,0.003
MSFT,2025-01-06T00:00:00Z,1D,2025-01-06,0.12,0.99,0.003,0.002
MSFT,2025-01-07T00:00:00Z,1D,2025-01-07,0.13,1.01,0.002,0.001
MSFT,2025-01-08T00:00:00Z,1D,2025-01-08,0.14,1.02,0.001,0.000
NVDA,2025-01-01T00:00:00Z,1D,2025-01-01,0.20,1.20,0.010,-0.006
NVDA,2025-01-02T00:00:00Z,1D,2025-01-02,0.23,1.24,-0.006,0.012
NVDA,2025-01-03T00:00:00Z,1D,2025-01-03,0.26,1.27,0.012,0.008
NVDA,2025-01-04T00:00:00Z,1D,2025-01-04,0.25,1.26,0.008,-0.004
NVDA,2025-01-05T00:00:00Z,1D,2025-01-05,0.28,1.30,-0.004,0.009
NVDA,2025-01-06T00:00:00Z,1D,2025-01-06,0.30,1.33,0.009,0.011
NVDA,2025-01-07T00:00:00Z,1D,2025-01-07,0.32,1.36,0.011,-0.005
NVDA,2025-01-08T00:00:00Z,1D,2025-01-08,0.31,1.35,-0.005,0.006
