ts_utc,weight__ml_cross_sectional_xgb_2026_q1__ml_cross_sectional_xgb_2026_q1_alpha_eval_1221fcf40775,weight__rank_composite_momentum_2026_q1__rank_composite_momentum_2026_q1_alpha_eval_46aa308ef0e5
2026-03-02T05:00:00Z,0.5,0.5
2026-03-03T05:00:00Z,0.5,0.5
2026-03-04T05:00:00Z,0.5,0.5
2026-03-05T05:00:00Z,0.5,0.5
2026-03-06T05:00:00Z,0.5,0.5
2026-03-09T04:00:00Z,0.5,0.5
2026-03-10T04:00:00Z,0.5,0.5
2026-03-11T04:00:00Z,0.5,0.5
2026-03-12T04:00:00Z,0.5,0.5
2026-03-13T04:00:00Z,0.5,0.5
2026-03-16T04:00:00Z,0.5,0.5
2026-03-17T04:00:00Z,0.5,0.5
2026-03-18T04:00:00Z,0.5,0.5
2026-03-19T04:00:00Z,0.5,0.5
2026-03-20T04:00:00Z,0.5,0.5
2026-03-23T04:00:00Z,0.5,0.5
2026-03-24T04:00:00Z,0.5,0.5
2026-03-25T04:00:00Z,0.5,0.5
2026-03-26T04:00:00Z,0.5,0.5
2026-03-27T04:00:00Z,0.5,0.5
2026-03-30T04:00:00Z,0.5,0.5
2026-03-31T04:00:00Z,0.5,0.5
2026-04-01T04:00:00Z,0.5,0.5
2026-04-02T04:00:00Z,0.5,0.5
